0.000186,0.000419,0.001030,0.002043,0.003784,0.005994,0.008408,0.010496,0.011260,0.010466,0.008539,0.005998,0.003711,0.002001,0.000889,0.000376
0.000361,0.001144,0.002600,0.005600,0.010535,0.016987,0.024154,0.029876,0.031936,0.029741,0.024130,0.016969,0.010539,0.005660,0.002664,0.001191
0.001044,0.002575,0.006507,0.013824,0.025987,0.042427,0.060110,0.074170,0.079595,0.074233,0.060210,0.042420,0.025827,0.013818,0.006412,0.002582
0.001939,0.005566,0.013905,0.029790,0.056074,0.091701,0.130206,0.160888,0.172591,0.160744,0.130233,0.091621,0.056027,0.029733,0.013838,0.005599
0.003616,0.010409,0.026007,0.056018,0.105414,0.172497,0.245225,0.302618,0.324744,0.302722,0.245076,0.172545,0.105459,0.056096,0.025953,0.010461
0.005917,0.017104,0.042312,0.091598,0.172407,0.282144,0.400975,0.494974,0.531129,0.495016,0.400969,0.282061,0.172537,0.091638,0.042436,0.016965
0.008453,0.024095,0.060232,0.130309,0.245080,0.400972,0.569871,0.703606,0.754846,0.703544,0.569727,0.401019,0.245208,0.130260,0.060115,0.024142
0.010499,0.029905,0.074325,0.160849,0.302698,0.494988,0.703528,0.868880,0.932101,0.868703,0.703516,0.495103,0.302571,0.160726,0.074258,0.029864
0.011238,0.031936,0.079691,0.172446,0.324675,0.531175,0.754870,0.932150,1.000000,0.932094,0.754759,0.531100,0.324663,0.172448,0.079744,0.031969
0.010532,0.029852,0.074307,0.160794,0.302685,0.495069,0.703534,0.868845,0.932036,0.868706,0.703624,0.495006,0.302758,0.160884,0.074331,0.029799
0.008388,0.024258,0.060132,0.130327,0.245221,0.401010,0.569767,0.703572,0.754911,0.703559,0.569742,0.400951,0.245216,0.130273,0.060161,0.024092
0.006022,0.017135,0.042276,0.091664,0.172574,0.282174,0.400979,0.495111,0.531098,0.495030,0.401001,0.282188,0.172572,0.091743,0.042350,0.017037
0.003766,0.010483,0.025966,0.056129,0.105563,0.172467,0.245103,0.302588,0.324725,0.302577,0.245121,0.172508,0.105443,0.056088,0.025832,0.010361
0.002080,0.005571,0.013741,0.029830,0.056124,0.091604,0.130258,0.160711,0.172409,0.160800,0.130242,0.091688,0.056115,0.029920,0.013819,0.005563
0.001043,0.002591,0.006417,0.013732,0.025831,0.042441,0.060214,0.074287,0.079631,0.074183,0.060078,0.042298,0.025936,0.013859,0.006461,0.002593
0.000545,0.001165,0.002648,0.005621,0.010437,0.016987,0.024144,0.029877,0.031894,0.029749,0.024082,0.016945,0.010524,0.005639,0.002632,0.001037
